t1.node,t2.node,est.net,ci.lower,ci.upper
WOR,PUN,0,-0.0692731411871757,0.144970853734718
ANH,PUN,0,-0.105410562789265,0.0902846751464114
DIS,PUN,0,-0.0328212293745338,0.156734050398856
RES,PUN,0.145387501578756,0.0485184754583984,0.250784238516833
SUI,PUN,0.121966707807588,0.0370196503870552,0.210916516015386
SAD,PUN,0,-0.0740430238763109,0.133923413698328
APP,PUN,0,-0.0659490113056777,0.103184322353004
CON,PUN,0,-0.0987745704022825,0.0845909560710071
SLE,PUN,0,-0.0599585816066264,0.119075325552516
TREAT,PUN,0,-0.131442070937314,0.176187723138044
BAD,CRY,0,-0.158025462496039,0.05156941881128
ANX,CRY,0,-0.0356827468687928,0.177189842051533
AFR,CRY,0,-0.031280635476212,0.158018157049126
FAI,CRY,0,-0.119806797846337,0.075662705266245
GUI,CRY,0,-0.0502297157908678,0.141286261550912
PUN,CRY,0,-0.137104012748094,0.0624434112392043
CRY,CRY,0.190224532549229,0.0974907309405946,0.278669093256585
IND,CRY,0,-0.09550607856183,0.101697616282473
LIB,CRY,0,-0.0632089933462067,0.116574375115435
PHY,CRY,0,-0.092672277903076,0.0815887567138437
IMP,CRY,0,-0.115905791870312,0.0842869365415717
TIR,CRY,0,-0.136417102246273,0.0666029793831749
WOR,CRY,0,-0.089650223781292,0.143538480566248
ANH,CRY,0,-0.103439975616498,0.109404694849905
DIS,CRY,0,-0.125145840045652,0.0810377827197069
RES,CRY,0,-0.0546299553314094,0.165340474803924
SUI,CRY,0,-0.0498818976206507,0.139258201246957
SAD,CRY,0,-0.0729734271555561,0.153210992315092
APP,CRY,0,-0.0142884849508334,0.169690243328079
CON,CRY,0,-0.10481293037545,0.0946777746323326
SLE,CRY,0,-0.068624109271167,0.126071189585197
TREAT,CRY,0,-0.242727593209285,0.0918786443349005
BAD,IND,0,-0.138022669538753,0.0562431386193179
ANX,IND,0,-0.00205621026375416,0.195261077626555
AFR,IND,0,-0.0711728753697516,0.104349549108141
FAI,IND,0,-0.159299761767255,0.0219181641162422
GUI,IND,0,-0.0879234508229539,0.0896536542900337
PUN,IND,0,-0.0299196061837267,0.155025458499072
CRY,IND,0,-0.083884352731623,0.0840647609464474
IND,IND,0.323073682975095,0.235485199360515,0.418335391540273
LIB,IND,0,-0.0599388947226727,0.106684028531859
PHY,IND,0,-0.0441917470976834,0.117333566461625
IMP,IND,0,-0.138724808688732,0.0468431126865104
TIR,IND,0,-0.0815624573720334,0.106566126132918
WOR,IND,0,-0.156777046911234,0.0593362419102592
ANH,IND,0,-0.108619238166007,0.088724915807112
DIS,IND,0,-0.0916444419571142,0.0995141311868382
RES,IND,0,-0.0675909972374713,0.136370892418031
SUI,IND,0.146793462560806,0.0602287320507142,0.235592552005209
SAD,IND,0,-0.111807906466003,0.0979080722276565
APP,IND,0,-0.00673457003200365,0.163833421796261
CON,IND,0,-0.0437572534885258,0.141173987814806
SLE,IND,0.107506089313512,0.0172148355992913,0.197747348709861
TREAT,IND,-0.0867429856568925,-0.329622854368838,-0.0193933367160726
BAD,LIB,0,-0.056623409068089,0.129964895665974
ANX,LIB,0,-0.0660046396683439,0.123509431986323
AFR,LIB,0,-0.0807962882631266,0.0877710386574841
FAI,LIB,0,-0.0963683926597902,0.0776797324484281
GUI,LIB,0,-0.118612490982456,0.0519287497799708
PUN,LIB,0,-0.101658515504988,0.075988830098344
CRY,LIB,0,-0.049761348366624,0.111547435790764
IND,LIB,0,-0.134143839287486,0.0414625109650661
LIB,LIB,0.474744914087723,0.395356396137144,0.55540256509829
PHY,LIB,0,-0.123132465405476,0.0320125874776586
IMP,LIB,0,-0.132363899850045,0.0458672616557312
TIR,LIB,0,-0.0401580656989799,0.140550984064151
WOR,LIB,0,-0.178110291583982,0.0294778559950587
ANH,LIB,0,-0.0255633074905567,0.163965108376944
DIS,LIB,0,-0.168143307739232,0.0154481868576442
RES,LIB,0,-0.0861615270377868,0.109719698066737
SUI,LIB,0,-0.0136054710361088,0.154813887886567
SAD,LIB,0.100894519872983,0.00204371781538687,0.203452593838035
APP,LIB,0.0935895293212589,0.0125936218651183,0.176408326575875
CON,LIB,0,-0.130643969081994,0.0469720843961178
SLE,LIB,0,-0.0874022852013359,0.0859759063247692
TREAT,LIB,0.114891062983182,0.0819094001001711,0.37985639731383
BAD,PHY,0,-0.0777412000938311,0.117743318562812
ANX,PHY,0,-0.0668804582072747,0.131490540971079
AFR,PHY,0,-0.0563898445391605,0.1203032252806
FAI,PHY,0.0968920729634395,0.00702084496484556,0.189126279069036
GUI,PHY,-0.116205885604402,-0.205357303802952,-0.0267956956334236
PUN,PHY,0,-0.0862663207627168,0.0996224895254534
CRY,PHY,0,-0.0684108233284728,0.100378730920218
